 	 	t	h	e	q	u	i	c	k	b	r	o	w	n	f	o	x	j	u	m	p	s	o	v	e	r	t	h	e	l	a	z	y	d	o	g
 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
s	0	0	1↖	0	0	0	0	1↖	1↖	0	1↖	0	0	1↖	0	0	0	0	0	0	0	2↖	0←	1↖	0	1↖	0	1↖	0	0	1↖	0	0	1↖	0	0
r	0	0	1↖	0↖	0	0	0	1↖	2↖	0↖←	2↖	0↖←	0	1↖	0↖	0	0	0	0	0	0	1↖	1↖	1↖	0↖	2↖	0↖←	1↖	0↖	0	1↖	0↖	0	1↖	0↖	0
a	0	0	1↖	0↖	0	0	0	1↖	2↖	1↖	1↖	1↖	0	1↖	0↖	0	0	0	0	0	0	1↖	0↖	2↖	0↖←	1↖	1↖	1↖	0↖	0	2↖	0↖←	0	1↖	0↖	0
v	0	0	1↖	0↖	0	0	0	1↖	2↖	1↖	2↖	0↖←	0↖	1↖	0↖	0	0	0	0	0	0	1↖	0↖	2↖	1↖	1↖	0↖	2↖	0↖←	0	1↖	1↖	0	1↖	0↖	0
a	0	0	1↖	0↖	0	0	0	1↖	2↖	1↖	2↖	1↖	0	1↖	0↖	0	0	0	0	0	0	1↖	0↖	1↖	1↖	2↖	0↖←	1↖	1↖	0	2↖	0↖←	0↖	1↖	0↖	0
n	0	0	1↖	0↖	0	0	0	1↖	2↖	1↖	2↖	1↖	0↖	2↖	0↖←	0	0	0	0	0	0	1↖	0↖	1↖	0↖	2↖	1↖	1↖	0↖	0↖	1↖	1↖	0	1↖	0↖	0
c	0	0	1↖	0↖	0	0	0	2↖	2↖	1↖	2↖	1↖	0↖	1↖	1↖	0	0	0	0	0	0	1↖	0↖	1↖	0↖	1↖	1↖	2↖	0↖←	0	1↖	0↖	0↖	1↖	0↖	0
h	0	0	2↖	0↖←	0	0	0	1↖	3↖	1↖←	2↖	1↖	0↖	1↖	0↖	0↖	0	0	0	0	0	1↖	0↖	1↖	0↖	1↖	0↖	3↖	1↖←	0	1↖	0↖	0	1↖	0↖	0
a	0	0	1↖	1↖	0	0	0	1↖	2↖	2↖	2↖	1↖	0↖	1↖	0↖	0	0	0	0	0	0	1↖	0↖	1↖	0↖	1↖	0↖	1↖↑	2↖	0↖←	2↖	0↖←	0	1↖	0↖	0
n	0	0	1↖	0↖	0↖	0	0	1↖	2↖	1↖	3↖	1↖←	0↖	2↖	0↖←	0	0	0	0	0	0	1↖	0↖	1↖	0↖	1↖	0↖	1↖	0↖↑	1↖	1↖	1↖	0	1↖	0↖	0
d	0	0	1↖	0↖	0	0	0	1↖	2↖	1↖	2↖	2↖	0↖←	1↖	1↖	0	0	0	0	0	0	1↖	0↖	1↖	0↖	1↖	0↖	1↖	0↖	0	2↖	0↖←	0↖	2↖	0↖←	0
a	0	0	1↖	0↖	0	0	0	1↖	2↖	1↖	2↖	1↖	1↖	1↖	0↖	0↖	0	0	0	0	0	1↖	0↖	1↖	0↖	1↖	0↖	1↖	0↖	0	2↖	1↖	0	1↖	1↖	0
k	0	0	1↖	0↖	0	0	0	1↖	3↖	1↖←	2↖	1↖	0↖	2↖	0↖←	0	0	0	0	0	0	1↖	0↖	1↖	0↖	1↖	0↖	1↖	0↖	0	1↖	1↖	0↖	1↖	0↖	0↖
a	0	0	1↖	0↖	0	0	0	1↖	2↖	2↖	2↖	1↖	0↖	1↖	1↖	0	0	0	0	0	0	1↖	0↖	1↖	0↖	1↖	0↖	1↖	0↖	0	2↖	0↖←	0↖	1↖	0↖	0
